Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	PCR Ribotype	Comment	Bio Project ID	Project	Sample	Secondary Sample	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number	No. N's	Assembly Barcode	Version
CLO_BA9931AA	CD-15-00888	ERR3465461;ILLUMINA;Paired;111;ERX3487139;SRA	Human	Human	Homo sapiens; stool sample	2014				Europe	Germany							Leibniz Institute DSMZ	719		PRJEB33779	ERP116599	SAMEA5843130	ERS3631677	2020-02-03	2020-01-31	CLO_BA9931AA	Assembled	188	191553	4292719	Clostridioides difficile;97.87%	82	53061	CLO_DA7615AA_AS	4.1
CLO_BA9994AA	CD-15-00705	ERR3465398;ILLUMINA;Paired;110;ERX3487076;SRA	Human	Human	Homo sapiens; stool sample	2014				Europe	Germany							Leibniz Institute DSMZ	708		PRJEB33779	ERP116599	SAMEA5843176	ERS3631723	2020-02-03	2020-01-31	CLO_BA9994AA	Assembled	178	126228	4124205	Clostridioides difficile;100.0%	92	27635	CLO_DA7552AA_AS	4.1
CLO_CA5052AA	BfR-CL-00678	traces-0FmUaZL;ILLUMINA;Paired;;NA;Uploaded								Europe	Germany							BfR	701						2021-01-14	2021-01-14	CLO_CA5052AA	Assembled	216	431056	4199627	Clostridioides difficile;100.0%	41	5366	CLO_EA8352AA_AS	4.1
CLO_CA5056AA	BfR-CL-00263	traces-0SZNIjj;ILLUMINA;Paired;;NA;Uploaded								Europe	Germany							BfR	701						2021-01-14	2021-01-14	CLO_CA5056AA	Assembled	218	425378	4212748	Clostridioides difficile;100.0%	50	5831	CLO_EA8356AA_AS	4.1
CLO_AA7645AA	CD-17-00649	traces-0DpExsf;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2016				Europe	Spain							Leibniz Institute DSMZ	678						2017-04-20	2018-01-01	CLO_AA7645AA	Assembled	71	214147	4240318	Clostridioides difficile;89.88%	83	2040	CLO_BA2927AA_AS	3.61
CLO_BA9925AA	CD-15-00894	ERR3465467;ILLUMINA;Paired;91;ERX3487145;SRA	Human	Human	Homo sapiens; stool sample	2014				Europe	Germany							Leibniz Institute DSMZ	668		PRJEB33779	ERP116599	SAMEA5843124	ERS3631671	2020-02-03	2020-01-31	CLO_BA9925AA	Assembled	100	245272	4145484	Clostridioides difficile;97.5%	62	14990	CLO_DA7621AA_AS	4.1
CLO_BA9917AA	CD-15-00926	ERR3465475;ILLUMINA;Paired;127;ERX3487153;SRA	Human	Human	Homo sapiens; stool sample	2014				Europe	Germany							Leibniz Institute DSMZ	666		PRJEB33779	ERP116599	SAMEA5843118	ERS3631665	2020-02-03	2020-01-31	CLO_BA9917AA	Assembled	87	252198	4118457	Clostridioides difficile;97.67%	64	18981	CLO_DA7629AA_AS	4.1
CLO_BA9806AA	CD-16-00156	ERR3465588;ILLUMINA;Paired;85;ERX3487266;SRA	Human	Human	Homo sapiens; stool sample	2015				Europe	Germany							Leibniz Institute DSMZ	651		PRJEB33779	ERP116599	SAMEA5843049	ERS3631596	2020-02-03	2020-01-31	CLO_BA9806AA	Assembled	106	182406	4092059	Clostridioides difficile;100.0%	83	9869	CLO_DA7740AA_AS	4.1
CLO_BA9795AA	CD-16-00168	ERR3465600;ILLUMINA;Paired;157;ERX3487278;SRA	Human	Human	Homo sapiens; stool sample	2015				Europe	Germany							Leibniz Institute DSMZ	629		PRJEB33779	ERP116599	SAMEA5843040	ERS3631587	2020-02-03	2020-01-31	CLO_BA9795AA	Assembled	139	249547	4148351	Clostridioides difficile;100.0%	77	7317	CLO_DA7751AA_AS	4.1
CLO_BA9663AA	CD-18-00443	ERR3465732;ILLUMINA;Paired;150;ERX3487410;SRA	Livestock	Swine	Swine; rectal swab	2012				Europe	Germany							Leibniz Institute DSMZ	620		PRJEB33780	ERP116600	SAMEA5846633	ERS3635166	2020-02-03	2020-01-31	CLO_BA9663AA	Assembled	195	140865	4001309	Clostridioides difficile;98.0%	73	52746	CLO_DA7884AA_AS	4.1
CLO_CA0019AA	CD-15-00676	ERR3465373;ILLUMINA;Paired;119;ERX3487051;SRA	Human	Human	Homo sapiens; stool sample	2013				Europe	Germany							Leibniz Institute DSMZ	620		PRJEB33779	ERP116599	SAMEA5843194	ERS3631741	2020-02-03	2020-01-31	CLO_CA0019AA	Assembled	169	125636	3855732	Clostridioides difficile;100.0%	89	30595	CLO_DA7527AA_AS	4.1
CLO_CA0048AA	CD-15-00642	ERR3465344;ILLUMINA;Paired;150;ERX3487022;SRA	Human	Human	Homo sapiens; stool sample	2013				Europe	Germany							Leibniz Institute DSMZ	614		PRJEB33779	ERP116599	SAMEA5843213	ERS3631760	2020-02-03	2020-01-31	CLO_CA0048AA	Assembled	188	250013	4056980	Clostridioides difficile;96.97%	51	17105	CLO_DA7498AA_AS	4.1
CLO_DA1477AA	CD105KSO7	traces-0iarYBA;ILLUMINA;Paired;;NA;Uploaded	Environment	Environment	Soil					Asia	Iraq					1.98420191003421	-4.18368816375733	University of Leicester	604	Clade C-I					2023-04-01	2023-04-01	CLO_DA1477AA	Assembled	118.6	325124	4468837	Clostridioides difficile;100.0%	69	576	CLO_FA6957AA_AS	5.1
CLO_BA6972AA	CD-18-00527	traces-0teMqMd;ILLUMINA;Paired;;NA;Uploaded	Livestock	Swine		2012				Europe	Germany							Leibniz Institute DSMZ	598						2019-02-07	2019-02-07	CLO_BA6972AA	Assembled	131	141093	4098173	Clostridioides difficile;88.48%	121	47605	CLO_CA6378AA_AS	4
CLO_BA9607AA	CD-18-00520	ERR3465788;ILLUMINA;Paired;150;ERX3487466;SRA	Livestock	Swine	Swine; rectal swab	2012				Europe	Germany							Leibniz Institute DSMZ	598		PRJEB33780	ERP116600	SAMEA5846562	ERS3635095	2020-02-03	2020-01-31	CLO_BA9607AA	Assembled	125	120047	4077129	Clostridioides difficile;95.89%	101	56025	CLO_DA7940AA_AS	4.1
CLO_BA9626AA	CD-18-00533	ERR3465769;ILLUMINA;Paired;150;ERX3487447;SRA	Livestock	Swine	Swine; rectal swab	2012				Europe	Germany							Leibniz Institute DSMZ	598		PRJEB33780	ERP116600	SAMEA5846555	ERS3635088	2020-02-03	2020-01-31	CLO_BA9626AA	Assembled	154	125645	4081608	Clostridioides difficile;98.41%	91	53424	CLO_DA7921AA_AS	4.1
CLO_BA9733AA	CD-18-00515	ERR3465662;ILLUMINA;Paired;150;ERX3487340;SRA	Livestock	Swine	Swine; rectal swab	2012				Europe	Germany							Leibniz Institute DSMZ	598		PRJEB33780	ERP116600	SAMEA5846567	ERS3635100	2020-02-03	2020-01-31	CLO_BA9733AA	Assembled	103	92416	4078908	Clostridioides difficile;98.79%	114	62719	CLO_DA7814AA_AS	4.1
CLO_BA9739AA	CD-18-00513	ERR3465656;ILLUMINA;Paired;150;ERX3487334;SRA	Livestock	Swine	Swine; rectal swab	2012				Europe	Germany							Leibniz Institute DSMZ	598		PRJEB33780	ERP116600	SAMEA5846569	ERS3635102	2020-02-03	2020-01-31	CLO_BA9739AA	Assembled	125	132607	4080431	Clostridioides difficile;97.06%	94	47786	CLO_DA7808AA_AS	4.1
CLO_BA9740AA	CD-18-00528	ERR3465655;ILLUMINA;Paired;150;ERX3487333;SRA	Livestock	Swine	Swine; rectal swab	2012				Europe	Germany							Leibniz Institute DSMZ	598		PRJEB33780	ERP116600	SAMEA5846558	ERS3635091	2020-02-03	2020-01-31	CLO_BA9740AA	Assembled	106	108820	4081352	Clostridioides difficile;97.1%	100	54408	CLO_DA7807AA_AS	4.1
CLO_BA9757AA	CD-18-00516	ERR3465638;ILLUMINA;Paired;150;ERX3487316;SRA	Livestock	Swine	Swine; rectal swab	2012				Europe	Germany							Leibniz Institute DSMZ	598		PRJEB33780	ERP116600	SAMEA5846566	ERS3635099	2020-02-03	2020-01-31	CLO_BA9757AA	Assembled	120	126976	4077957	Clostridioides difficile;96.88%	85	47274	CLO_DA7790AA_AS	4.1
CLO_BA9766AA	CD-18-00519	ERR3465629;ILLUMINA;Paired;150;ERX3487307;SRA	Livestock	Swine	Swine; rectal swab	2012				Europe	Germany							Leibniz Institute DSMZ	598		PRJEB33780	ERP116600	SAMEA5846563	ERS3635096	2020-02-03	2020-01-31	CLO_BA9766AA	Assembled	86	101614	4077796	Clostridioides difficile;98.61%	94	52860	CLO_DA7781AA_AS	4.1
CLO_AA7644AA	CD-17-00648	traces-0mezYsu;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2016				Europe	Spain							Leibniz Institute DSMZ	591						2017-04-20	2018-01-01	CLO_AA7644AA	Assembled	122	166500	4480426	Clostridioides difficile;91.67%	87	2022	CLO_BA2926AA_AS	3.61
CLO_CA2962AA	SIRN_HT-018	traces-0iljamd;ILLUMINA;Paired;;NA;Uploaded	Human	Human		2013				Europe	United Kingdom	Scotland						SSSCDRL	591						2020-09-15	2020-09-15	CLO_CA2962AA	Assembled	132	226000	4064781	Clostridioides difficile;100.0%	41	7224	CLO_EA6147AA_AS	4.1
CLO_AA7922AA	Q0006	ERR1854838;ILLUMINA;Paired;250;ERX1916816;SRA	Human	Human	Homo sapiens; hospital	2007	5	1		Oceania	Australia							Unknown	586		PRJEB19597	ERP021646	SAMEA96583918	ERS1566893	2017-10-31	2017-10-31	CLO_AA7922AA	Assembled	104	187283	4124782	Clostridioides difficile;99.49%	74	4960	CLO_BA3453AA_AS	3.61
CLO_AA7923AA	HCD0052	ERR1854837;ILLUMINA;Paired;250;ERX1916815;SRA	Human	Human	Homo sapiens; hospital	1998	1	1		Oceania	Australia							Unknown	585		PRJEB19597	ERP021646	SAMEA96583168	ERS1566892	2017-10-31	2017-10-31	CLO_AA7923AA	Assembled	103	169032	3986503	Clostridioides difficile;99.51%	73	5141	CLO_BA3452AA_AS	3.61
CLO_BA9791AA	CD-16-00172	ERR3465604;ILLUMINA;Paired;120;ERX3487282;SRA	Human	Human	Homo sapiens; stool sample	2015				Europe	Germany							Leibniz Institute DSMZ	581		PRJEB33779	ERP116599	SAMEA5842929	ERS3631476	2020-02-03	2020-01-31	CLO_BA9791AA	Assembled	93	135724	4279636	Clostridioides difficile;100.0%	130	86754	CLO_DA7755AA_AS	4.1
CLO_CA5035AA	BfR-CL-00200	traces-0lXsbnu;ILLUMINA;Paired;;NA;Uploaded								Europe	Germany							BfR	578						2021-01-14	2021-01-14	CLO_CA5035AA	Assembled	236	431083	4043073	Clostridioides difficile;100.0%	40	6132	CLO_EA8335AA_AS	4.1
CLO_BA9827AA	CD-16-00135	ERR3465567;ILLUMINA;Paired;150;ERX3487245;SRA	Human	Human	Homo sapiens; stool sample	2015				Europe	Germany							Leibniz Institute DSMZ	569		PRJEB33779	ERP116599	SAMEA5842930	ERS3631477	2020-02-03	2020-01-31	CLO_BA9827AA	Assembled	377	232200	4151538	Clostridioides difficile;97.3%	58	19946	CLO_DA7719AA_AS	4.1
CLO_BA9878AA	CD-15-00966	ERR3465514;ILLUMINA;Paired;130;ERX3487192;SRA	Human	Human	Homo sapiens; stool sample	2014				Europe	Germany							Leibniz Institute DSMZ	563		PRJEB33779	ERP116599	SAMEA5843100	ERS3631647	2020-02-03	2020-01-31	CLO_BA9878AA	Assembled	137	230385	4275157	Clostridioides difficile;100.0%	54	6655	CLO_DA7668AA_AS	4.1
CLO_BA9987AA	CD-15-00714	ERR3465405;ILLUMINA;Paired;127;ERX3487083;SRA	Human	Human	Homo sapiens; stool sample	2013				Europe	Germany							Leibniz Institute DSMZ	559		PRJEB33779	ERP116599	SAMEA5843172	ERS3631719	2020-02-03	2020-01-31	CLO_BA9987AA	Assembled	155	173892	4128294	Clostridioides difficile;98.11%	81	23395	CLO_DA7559AA_AS	4.1
CLO_CA2805AA	SIRN_ST-013	traces-0VyyQKr;ILLUMINA;Paired;;NA;Uploaded	Human	Human		2013				Europe	United Kingdom	Scotland						SSSCDRL	559						2020-09-14	2020-09-14	CLO_CA2805AA	Assembled	104	466603	4456794	Clostridioides difficile;91.89%	64	40575	CLO_EA5986AA_AS	4.1
CLO_BA9869AA	CD-16-00091	ERR3465524;ILLUMINA;Paired;150;ERX3487202;SRA	Human	Human	Homo sapiens; stool sample	2015				Europe	Germany							Leibniz Institute DSMZ	547		PRJEB33779	ERP116599	SAMEA5843091	ERS3631638	2020-02-03	2020-01-31	CLO_BA9869AA	Assembled	122	199248	4142382	Clostridioides difficile;97.01%	98	10345	CLO_DA7677AA_AS	4.1
CLO_BA9769AA	CD-16-00194	ERR3465626;ILLUMINA;Paired;131;ERX3487304;SRA	Human	Human	Homo sapiens; stool sample	2016				Europe	Germany							Leibniz Institute DSMZ	534		PRJEB33779	ERP116599	SAMEA5843025	ERS3631572	2020-02-03	2020-01-31	CLO_BA9769AA	Assembled	231	258258	4336373	Clostridioides difficile;97.22%	71	65608	CLO_DA7778AA_AS	4.1
CLO_AA7242AA	CD-17-00019	traces-0TDXoBs;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2015				Europe	Spain							Leibniz Institute DSMZ	500						2017-02-28	2018-01-01	CLO_AA7242AA	Assembled	126	369720	4069928	Clostridioides difficile;100.0%	46	1065	CLO_BA1551AA_AS	3.61
CLO_AA7275AA	CD-17-00053	traces-0MRlqLE;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2015				Europe	Spain							Leibniz Institute DSMZ	500						2017-02-28	2018-01-01	CLO_AA7275AA	Assembled	121	230097	4064532	Clostridioides difficile;100.0%	53	1288	CLO_BA1584AA_AS	3.61
CLO_AA7277AA	CD-17-00055	traces-0TatxHy;ILLUMINA;Paired;;NA;Uploaded,traces-0DztvvJ;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2015				Europe	Spain							Leibniz Institute DSMZ	500						2017-04-20	2018-01-01	CLO_AA7277AA	Assembled	114	489261	4071617	Clostridioides difficile;97.83%	40	654	CLO_BA2884AA_AS	3.61
CLO_AA7293AA	CD-17-00071	traces-0SsNhkK;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2014				Europe	Spain							Leibniz Institute DSMZ	500						2017-02-28	2018-01-01	CLO_AA7293AA	Assembled	136	280509	4059173	Clostridioides difficile;100.0%	46	968	CLO_BA1602AA_AS	3.61
CLO_AA7298AA	CD-17-00076	traces-0DxMYmE;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2014				Europe	Spain							Leibniz Institute DSMZ	500						2017-02-28	2018-01-01	CLO_AA7298AA	Assembled	122	280616	4085807	Clostridioides difficile;97.06%	60	1371	CLO_BA1607AA_AS	3.61
CLO_AA7305AA	CD-17-00083	traces-0jjZHpF;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2014				Europe	Spain							Leibniz Institute DSMZ	500						2017-02-28	2018-01-01	CLO_AA7305AA	Assembled	65	238384	4061959	Clostridioides difficile;100.0%	45	2049	CLO_BA1614AA_AS	3.61
CLO_AA7307AA	CD-17-00085	traces-0tGWYhd;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2014				Europe	Spain							Leibniz Institute DSMZ	500						2017-02-28	2018-01-01	CLO_AA7307AA	Assembled	55	332511	4064640	Clostridioides difficile;100.0%	51	2711	CLO_BA1616AA_AS	3.61
CLO_AA7318AA	CD-17-00096	traces-0oafvtJ;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2015				Europe	Spain							Leibniz Institute DSMZ	500						2017-02-28	2018-01-01	CLO_AA7318AA	Assembled	226	458131	4071602	Clostridioides difficile;100.0%	49	928	CLO_BA1627AA_AS	3.61
CLO_AA7332AA	CD-17-00111	traces-0foCntn;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2016				Europe	Spain							Leibniz Institute DSMZ	500						2017-02-28	2018-01-01	CLO_AA7332AA	Assembled	166	370609	4070633	Clostridioides difficile;100.0%	47	1226	CLO_BA1641AA_AS	3.61
CLO_AA7337AA	CD-17-00116	traces-0qiJPsp;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2016				Europe	Spain							Leibniz Institute DSMZ	500						2017-02-28	2018-01-01	CLO_AA7337AA	Assembled	132	485556	4075507	Clostridioides difficile;100.0%	46	1564	CLO_BA1646AA_AS	3.61
CLO_AA7353AA	CD-17-00132	traces-0AVBWBE;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2016				Europe	Spain							Leibniz Institute DSMZ	500						2017-02-28	2018-01-01	CLO_AA7353AA	Assembled	94	279959	4068624	Clostridioides difficile;100.0%	59	1375	CLO_BA1662AA_AS	3.61
CLO_AA7354AA	CD-17-00133	traces-0agnsoP;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2016				Europe	Spain							Leibniz Institute DSMZ	500						2017-02-28	2018-01-01	CLO_AA7354AA	Assembled	93	461644	4064458	Clostridioides difficile;100.0%	48	1553	CLO_BA1663AA_AS	3.61
CLO_AA7366AA	CD-17-00146	traces-0YwHoWX;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2014				Europe	Spain							Leibniz Institute DSMZ	500						2017-02-28	2018-01-01	CLO_AA7366AA	Assembled	116	70251	4116226	Clostridioides difficile;100.0%	147	11703	CLO_BA1675AA_AS	3.61
CLO_AA7368AA	CD-17-00148	traces-0myFyHS;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2014				Europe	Spain							Leibniz Institute DSMZ	500						2017-02-28	2018-01-01	CLO_AA7368AA	Assembled	93	63743	4069407	Clostridioides difficile;100.0%	159	14254	CLO_BA1677AA_AS	3.61
CLO_AA7372AA	CD-17-00152	traces-0GmOjyK;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2014				Europe	Spain							Leibniz Institute DSMZ	500						2017-02-28	2018-01-01	CLO_AA7372AA	Assembled	116	461032	4079711	Clostridioides difficile;100.0%	65	1767	CLO_BA1681AA_AS	3.61
CLO_AA7383AA	CD-17-00164	traces-0btueVN;ILLUMINA;Paired;;NA;Uploaded,traces-0szghBm;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2014				Europe	Spain							Leibniz Institute DSMZ	500						2017-04-20	2018-01-01	CLO_AA7383AA	Assembled	98	306809	4035323	Clostridioides difficile;98.22%	52	824	CLO_BA2893AA_AS	3.61
CLO_AA7387AA	CD-17-00168	traces-0YQHygS;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2014				Europe	Spain							Leibniz Institute DSMZ	500						2017-02-28	2018-01-01	CLO_AA7387AA	Assembled	131	340007	4074811	Clostridioides difficile;100.0%	62	1515	CLO_BA1696AA_AS	3.61
CLO_AA7391AA	CD-17-00172	traces-0xQDBdv;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2014				Europe	Spain							Leibniz Institute DSMZ	500						2017-02-28	2018-01-01	CLO_AA7391AA	Assembled	54	240195	4065140	Clostridioides difficile;98.36%	58	2346	CLO_BA1700AA_AS	3.61
CLO_AA7398AA	CD-17-00182	traces-0mCBPJu;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2014				Europe	Spain							Leibniz Institute DSMZ	500						2017-03-01	2018-01-01	CLO_AA7398AA	Assembled	117	369274	4072781	Clostridioides difficile;98.12%	51	876	CLO_BA1707AA_AS	3.61
CLO_AA7625AA	CD-17-00181	traces-0IzjCVI;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2014				Europe	Spain							Leibniz Institute DSMZ	500						2017-04-20	2018-01-01	CLO_AA7625AA	Assembled	69	340912	4067271	Clostridioides difficile;98.21%	48	1619	CLO_BA2898AA_AS	3.61
CLO_AA7628AA	CD-17-00192	traces-0rblyfE;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2015				Europe	Spain							Leibniz Institute DSMZ	500						2017-04-20	2018-01-01	CLO_AA7628AA	Assembled	48	339907	4071083	Clostridioides difficile;98.31%	57	3188	CLO_BA2903AA_AS	3.61
CLO_CA9967AA	VPT_217	traces-0LlbLHh;ILLUMINA;Paired;;NA;Uploaded	Human	Human	200607													GareyLab	483	33					2022-08-22	2023-08-29	CLO_CA9967AA	Assembled	2110	426097	4056077	Clostridioides difficile;96.0%	50	25191	CLO_FA5190AA_AS	4.1
CLO_AA7648AA	CD-17-00652	traces-0NocjTN;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Homo sapiens	2016				Europe	Spain							Leibniz Institute DSMZ	470						2017-04-20	2018-01-01	CLO_AA7648AA	Assembled	36	216298	4170706	Clostridioides difficile;87.5%	50	5144	CLO_BA2930AA_AS	3.61
CLO_BA9897AA	CD-15-00946	ERR3465495;ILLUMINA;Paired;150;ERX3487173;SRA	Human	Human	Homo sapiens; stool sample	2015				Europe	Germany							Leibniz Institute DSMZ	456		PRJEB33779	ERP116599	SAMEA5842934	ERS3631481	2020-02-03	2020-01-31	CLO_BA9897AA	Assembled	163	232568	4260721	Clostridioides difficile;100.0%	53	9100	CLO_DA7649AA_AS	4.1
CLO_AA3434AA	C00005740	ERR126288;ILLUMINA;Paired;189;ERX102437;SRA								Europe	United Kingdom							University of Oxford	454		PRJEB3010	ERP001417	SAMEA1487102	ERS139413	2016-07-29	2012-08-28	CLO_AA3434AA	Assembled	72	177998	4341673	Clostridioides difficile;79.51%	108	3494	CLO_AA4586AA_AS	3.51
CLO_CA8921AA	SMG-22-633	traces-0lTnBUg;ILLUMINA;Paired;;NA;Uploaded	Human	Human		2022	4			Europe	United Kingdom	Scotland						D. Brown (Scotland)	454						2022-04-25	2022-04-25	CLO_CA8921AA	Assembled	172	429446	4326134	Clostridioides difficile;91.9%	80	62883	CLO_FA3999AA_AS	4.1
CLO_BA9875AA	CD-16-00084	ERR3465517;ILLUMINA;Paired;110;ERX3487195;SRA	Human	Human	Homo sapiens; stool sample	2015				Europe	Germany							Leibniz Institute DSMZ	453		PRJEB33779	ERP116599	SAMEA5843097	ERS3631644	2020-02-03	2020-01-31	CLO_BA9875AA	Assembled	134	134649	4106660	Clostridioides difficile;100.0%	77	24174	CLO_DA7671AA_AS	4.1
CLO_BA9914AA	CD-15-00929	ERR3465478;ILLUMINA;Paired;121;ERX3487156;SRA	Human	Human	Homo sapiens; stool sample	2015				Europe	Germany							Leibniz Institute DSMZ	451		PRJEB33779	ERP116599	SAMEA5843115	ERS3631662	2020-02-03	2020-01-31	CLO_BA9914AA	Assembled	144	230265	4159914	Clostridioides difficile;97.14%	49	15881	CLO_DA7632AA_AS	4.1
CLO_BA9946AA	CD-15-00872	ERR3465446;ILLUMINA;Paired;89;ERX3487124;SRA	Human	Human	Homo sapiens; stool sample	2014				Europe	Germany							Leibniz Institute DSMZ	449		PRJEB33779	ERP116599	SAMEA5842952	ERS3631499	2020-02-03	2020-01-31	CLO_BA9946AA	Assembled	103	198832	4152396	Clostridioides difficile;100.0%	60	32055	CLO_DA7600AA_AS	4.1
CLO_BA9956AA	CD-15-00862	ERR3465436;ILLUMINA;Paired;103;ERX3487114;SRA	Human	Human	Homo sapiens; stool sample	2014				Europe	Germany							Leibniz Institute DSMZ	449		PRJEB33779	ERP116599	SAMEA5842949	ERS3631496	2020-02-03	2020-01-31	CLO_BA9956AA	Assembled	97	173665	4153219	Clostridioides difficile;100.0%	78	36378	CLO_DA7590AA_AS	4.1
